Retort_Temperature,Holding_Time,F0,Storage_Temperature,Storage_Day,pH,PV,TPC,O2,CO2,Moisture_Content,L_Value,a_Value,b_Value,Shelf_Life_Remaining
128.4,19.0,10.0,5.8,9.9,6.91,1.58,0.49,11.9,4.44,54.5,61.4,7.9,1.2,87.5
128.7,33.8,13.06,9.1,5.8,4.54,5.13,0.31,18.09,5.11,35.7,61.8,19.4,25.2,98.5
112.0,29.6,25.02,14.2,6.3,6.13,3.77,0.23,13.55,14.88,24.4,73.0,12.5,19.2,94.5
118.4,15.9,31.08,19.7,28.9,6.73,3.07,2.38,16.61,10.3,22.1,30.5,0.2,15.9,62.0
117.3,28.6,31.9,31.2,36.3,5.07,2.83,2.9,14.77,11.99,63.9,67.3,2.6,23.8,22.6
122.7,15.1,28.87,16.7,18.1,6.98,1.16,2.0,9.78,1.07,73.9,75.2,16.3,6.1,52.1
119.9,36.1,31.15,15.6,15.4,6.28,5.76,1.92,5.42,7.04,21.8,63.9,11.1,21.4,72.5
113.3,33.6,39.12,36.8,94.3,6.05,9.4,8.87,2.33,16.18,38.0,67.2,19.3,15.3,6.1
119.3,12.0,24.93,36.8,99.8,6.02,8.9,10.08,1.44,15.72,54.5,65.4,14.2,22.5,5.7
110.8,11.6,34.04,18.2,25.2,4.39,5.52,1.96,0.12,9.68,73.6,42.9,-1.4,29.6,56.3
123.3,13.5,12.84,18.8,20.6,5.22,7.84,1.74,14.96,4.93,51.5,71.9,19.6,0.9,71.8
122.7,33.8,20.17,4.6,9.2,6.67,2.19,0.67,16.74,8.52,72.4,69.9,-8.5,0.8,91.5
126.4,23.5,29.64,22.0,22.1,6.29,4.83,1.46,9.51,7.52,20.3,57.3,5.3,19.8,71.7
115.9,37.2,16.97,8.7,2.4,5.8,3.92,0.18,10.49,1.89,69.8,75.5,11.0,20.9,99.3
127.3,35.6,27.72,31.8,47.9,4.3,4.28,2.88,17.18,7.56,50.9,39.8,9.0,26.1,32.3
111.9,12.6,21.89,23.5,28.1,5.96,5.83,2.21,10.14,14.05,63.7,36.5,2.2,9.3,62.0
129.3,33.0,28.95,23.0,14.8,4.74,1.7,1.71,14.42,12.49,26.5,78.8,-1.1,22.6,50.0
122.3,15.4,33.52,18.8,29.0,4.4,3.19,2.36,10.56,0.08,51.3,68.7,12.6,1.1,63.9
111.9,33.5,21.84,8.1,4.0,4.03,7.72,0.41,4.23,12.35,50.0,41.0,15.5,28.8,113.1
121.8,17.1,20.69,25.6,53.8,6.04,3.22,3.47,6.91,2.27,67.9,32.7,-0.6,22.9,26.7
120.6,39.1,19.45,17.7,14.4,5.86,0.53,1.87,18.76,2.69,74.6,45.9,-6.0,14.4,74.7
123.2,38.1,33.84,10.1,8.7,4.5,5.81,0.13,11.32,4.41,36.8,38.4,18.2,10.2,100.4
113.3,27.9,30.97,28.2,34.7,6.96,7.49,2.67,9.86,5.93,24.3,54.7,7.0,24.2,26.8
112.3,31.0,11.91,35.1,116.7,4.85,6.2,10.5,2.59,16.83,50.9,76.2,4.1,24.6,6.6
112.7,26.4,38.83,10.8,1.7,6.15,4.17,0.83,9.19,4.61,67.0,68.8,0.4,17.9,94.0
123.2,16.4,25.68,6.8,7.7,5.98,3.04,0.56,2.51,12.28,52.8,33.9,14.9,3.4,103.1
127.5,31.5,24.17,32.5,59.4,5.0,2.25,3.25,10.41,2.8,52.8,37.9,17.1,20.5,22.7
125.8,15.7,11.58,33.3,55.3,6.21,1.82,3.65,11.06,2.38,44.0,40.0,19.6,22.8,27.4
120.4,24.1,33.07,5.1,3.2,4.67,1.71,0.58,11.02,8.67,44.6,46.5,-5.6,14.0,105.7
122.2,22.4,13.81,22.2,28.6,6.31,5.19,2.15,15.32,0.04,53.4,42.6,-6.4,23.3,54.3
116.3,17.8,18.59,38.2,119.4,6.93,8.84,9.89,1.82,22.29,32.8,34.5,7.5,27.0,9.2
117.3,25.5,33.85,16.9,14.8,5.91,4.89,1.23,1.6,7.79,60.3,78.6,-3.9,25.0,48.0
122.8,16.0,34.04,19.9,25.9,5.35,4.49,1.01,8.14,14.09,60.8,79.0,15.4,27.2,52.7
113.4,22.5,19.45,22.6,23.7,6.82,2.39,1.55,7.98,0.3,73.4,46.6,-7.7,15.7,74.0
119.0,29.0,38.24,26.1,38.3,6.54,7.97,3.56,11.15,1.77,68.3,32.0,7.7,27.9,21.3
110.8,35.2,17.87,25.1,38.8,4.05,6.22,4.09,1.39,8.05,42.6,67.5,17.0,14.8,24.7
120.8,32.4,12.13,7.5,6.4,6.3,5.1,0.66,14.96,13.48,35.3,39.0,17.8,10.3,86.6
126.6,14.6,18.57,14.1,8.0,5.74,3.38,0.22,1.74,1.25,60.0,65.9,8.9,4.7,117.9
123.5,35.3,35.78,34.1,54.3,4.43,4.06,3.43,15.83,5.33,62.6,36.6,18.3,14.7,29.3
129.2,12.2,23.68,32.7,59.3,4.28,0.49,4.33,16.14,9.27,50.9,76.8,18.0,18.2,25.7
118.5,11.8,13.94,4.9,5.2,5.59,2.21,0.16,6.84,8.66,65.2,74.9,0.3,13.6,104.0
110.8,12.9,39.65,16.2,21.9,4.26,3.82,2.12,8.05,11.59,49.1,64.5,1.2,26.2,73.8
118.6,12.8,39.17,29.0,49.9,4.06,3.11,4.22,14.61,14.27,68.5,30.7,9.7,18.4,32.1
123.1,16.1,13.63,29.2,45.9,6.85,6.56,4.3,2.4,2.78,32.0,75.5,3.2,7.2,23.6
118.8,16.4,21.2,28.6,31.1,5.15,5.68,2.77,16.19,4.9,38.4,37.7,8.9,18.5,19.7
116.0,12.8,27.5,29.5,55.6,5.55,2.1,4.12,10.89,7.33,48.8,32.2,-7.5,0.5,32.2
115.2,39.0,35.97,8.1,1.4,6.68,3.35,0.87,4.36,5.92,23.1,31.9,-8.3,26.7,118.8
118.8,31.4,38.72,10.5,8.4,4.0,3.93,0.13,16.55,2.34,34.8,45.4,17.3,2.4,107.7
129.1,28.6,27.12,44.0,93.5,5.56,7.23,8.65,1.6,19.26,55.7,62.3,5.9,16.1,10.0
122.2,32.4,17.77,26.3,42.6,4.18,7.88,3.97,4.02,0.32,60.9,33.7,-2.4,10.0,18.1
118.5,19.6,31.28,16.3,12.5,4.59,2.34,1.03,2.71,1.59,71.8,43.1,2.1,17.1,72.7
129.8,22.3,35.6,24.5,29.0,4.78,1.24,1.17,10.94,4.28,32.0,68.1,2.1,25.0,62.4
129.2,11.7,22.9,14.7,4.1,6.43,3.73,0.93,3.93,12.41,55.1,64.5,14.5,23.5,88.9
129.3,13.4,33.76,40.6,109.6,7.0,9.12,9.5,2.17,24.21,72.2,57.1,17.1,16.1,8.2
128.7,11.7,24.72,15.9,29.8,6.09,4.34,1.49,13.18,5.67,30.8,61.2,11.2,18.4,62.9
128.2,17.7,15.58,34.1,59.1,6.49,3.3,3.04,5.69,6.87,53.8,46.6,0.8,27.5,24.8
117.7,27.0,25.2,17.5,18.3,6.54,5.33,1.14,13.48,7.48,33.3,48.4,15.6,7.5,71.9
117.6,29.8,19.15,42.5,118.5,6.16,6.52,8.31,2.99,21.59,29.4,57.6,0.9,10.5,5.4
114.5,18.4,21.87,34.1,40.3,4.07,6.26,3.16,7.77,7.88,53.0,67.8,10.2,21.7,28.9
127.3,14.7,23.66,15.0,10.5,5.19,0.92,1.93,13.15,6.42,35.8,69.4,8.4,21.0,74.4
129.3,22.4,10.17,12.3,0.2,4.95,5.93,0.36,0.29,0.49,25.8,50.0,0.2,23.2,94.1
128.0,30.3,20.36,4.9,1.1,5.01,7.62,0.19,14.15,0.79,28.0,79.8,4.7,26.8,96.4
129.3,14.3,23.66,41.2,90.9,5.45,6.67,8.31,1.01,16.23,50.5,46.3,7.7,3.8,6.6
112.0,20.7,29.57,12.3,4.0,5.3,2.73,0.87,4.98,11.0,63.7,59.8,-7.3,23.4,97.8
129.2,24.5,23.62,26.1,39.8,6.25,7.4,4.18,19.83,2.87,71.4,53.0,-8.6,14.5,33.6
118.8,15.6,16.33,19.9,19.6,4.85,5.97,1.94,2.89,4.37,24.7,46.5,9.5,17.8,55.6
113.2,25.0,16.73,39.2,91.0,5.8,9.61,11.81,1.5,16.82,25.2,79.0,9.9,17.3,5.7
111.6,35.2,30.08,21.6,29.9,6.99,4.17,2.36,15.62,10.32,21.2,38.3,-8.0,23.2,65.5
122.5,35.7,36.31,6.3,7.7,4.66,4.9,0.91,16.51,12.08,33.2,33.4,1.0,8.8,102.6
113.5,18.5,30.19,14.8,0.3,5.91,5.89,0.65,14.75,0.63,78.2,77.3,7.9,14.5,93.0
125.4,29.9,35.9,20.4,25.3,6.13,5.71,1.33,0.82,12.66,27.9,51.4,7.3,12.6,50.0
118.5,27.1,38.6,34.3,55.9,4.63,7.04,2.96,13.15,2.11,55.8,33.2,8.8,29.9,24.1
112.3,13.4,10.93,11.4,7.6,4.78,6.14,0.72,6.85,10.07,74.5,63.6,10.0,14.7,86.4
123.4,33.0,11.31,9.0,5.6,5.1,7.03,0.88,1.69,5.32,60.5,45.8,19.3,29.7,115.5
123.9,32.6,23.91,27.0,53.8,6.62,4.77,3.6,2.08,7.04,71.3,62.3,10.9,1.1,31.3
128.9,21.4,37.29,25.1,53.2,5.81,0.42,2.57,11.51,5.64,64.1,79.0,-2.2,15.0,23.8
119.8,13.1,27.87,40.6,101.6,6.64,7.26,10.86,1.72,19.73,49.9,79.2,12.3,12.3,6.7
114.3,19.5,24.81,40.5,105.6,5.03,6.43,11.21,2.49,19.5,44.7,47.6,-7.7,0.6,0.0
111.0,15.8,17.34,20.9,18.5,6.91,4.51,2.24,2.91,1.06,35.2,36.3,-6.9,2.3,68.4
126.8,20.4,15.01,8.1,8.6,5.59,7.37,0.45,1.7,7.97,58.9,45.6,-8.8,17.1,93.8
125.0,19.5,26.91,43.1,113.5,6.07,7.94,8.01,0.3,23.27,29.7,65.9,5.4,26.8,8.5
122.3,24.8,34.87,40.4,111.6,4.51,5.86,11.89,2.53,19.9,72.0,36.0,12.5,3.8,7.2
118.4,10.1,32.43,31.2,56.6,4.04,3.84,3.4,8.18,14.77,35.1,57.6,9.2,18.8,28.4
114.5,26.1,38.6,41.1,94.4,5.47,8.84,8.53,0.64,21.9,67.5,36.7,-0.7,11.7,1.6
115.3,31.9,13.87,17.1,29.0,5.46,5.35,1.93,19.6,11.03,34.7,35.9,16.9,14.6,58.6
122.9,12.8,28.88,41.5,96.7,6.39,8.33,11.8,0.33,15.21,36.9,77.6,4.1,21.3,0.9
122.1,32.1,29.09,14.0,7.4,4.05,1.32,0.39,7.46,12.61,77.8,78.8,10.2,13.2,97.5
110.2,32.9,15.78,33.6,53.9,4.84,0.36,3.98,0.68,9.62,26.5,78.7,18.5,20.5,27.2
120.1,23.9,37.97,38.7,96.2,6.18,7.73,8.16,1.99,24.15,40.2,31.4,19.2,20.3,0.8
120.6,22.4,22.45,17.4,10.1,5.7,7.94,1.2,14.78,1.54,39.9,42.7,19.0,27.3,58.4
110.2,13.0,28.94,14.9,5.7,4.89,2.74,0.84,6.46,4.5,40.6,50.4,-0.5,15.4,91.4
115.7,23.1,13.5,21.7,29.3,4.34,4.18,2.44,17.24,9.71,30.5,43.3,-4.8,26.1,49.9
115.7,24.1,28.89,13.3,0.6,4.08,1.8,0.7,18.57,9.47,49.0,79.1,-8.3,8.0,102.6
110.9,23.7,16.39,33.3,59.1,6.02,3.66,3.12,15.48,4.07,47.8,75.2,-7.4,5.5,35.0
125.7,34.8,34.13,9.5,9.4,4.11,6.71,0.74,19.99,10.1,27.6,46.9,-6.1,15.9,102.9
113.1,17.9,39.56,40.0,96.0,5.1,5.19,8.55,1.76,21.83,58.2,33.5,-7.1,5.5,0.4
125.7,23.8,14.03,10.5,3.0,5.62,0.18,0.49,9.75,3.61,37.8,50.2,9.5,17.3,113.4
126.1,13.2,20.23,43.4,109.7,4.03,7.07,10.7,0.66,17.07,70.3,68.4,11.6,18.1,6.0
113.9,15.5,35.91,10.9,4.3,6.85,7.68,0.66,7.49,6.75,65.8,47.4,8.0,19.9,85.9
114.7,11.0,29.82,20.0,18.2,6.89,0.43,1.8,18.18,12.06,55.3,69.3,6.7,11.8,62.9
112.3,37.1,16.6,41.1,105.2,5.23,5.99,10.79,1.0,18.26,20.7,51.2,-7.3,3.7,8.9
116.8,27.0,21.33,15.3,21.2,4.82,2.5,1.27,14.51,6.4,73.6,43.3,2.9,3.8,74.0
110.3,37.0,18.31,33.0,53.4,6.07,7.23,3.22,0.45,7.76,56.5,30.0,-5.4,18.4,33.0
122.3,35.9,19.64,10.4,0.4,5.53,6.16,0.85,13.36,8.91,67.9,48.9,-8.1,24.7,108.1
112.7,13.7,21.81,35.0,52.7,4.11,5.55,2.93,13.69,0.62,37.1,42.6,-8.0,9.5,34.4
128.6,21.2,19.69,36.5,95.4,5.31,6.11,8.78,2.17,24.29,68.0,45.6,8.1,29.6,7.3
111.2,36.3,11.3,42.9,98.4,5.04,7.37,10.99,1.04,21.31,23.7,71.6,12.5,25.1,9.7
120.1,23.1,23.94,25.6,32.3,6.16,7.12,2.56,15.73,12.99,37.5,74.2,5.7,9.4,19.0
120.7,34.0,36.55,42.9,96.7,5.71,9.34,9.15,1.92,21.97,58.0,44.3,13.7,23.1,1.3
116.0,14.4,34.79,20.4,10.5,6.79,7.79,1.3,9.94,13.36,42.4,61.2,14.8,4.5,63.8
120.1,14.5,23.71,39.1,100.4,6.84,5.05,11.89,0.94,23.47,50.2,74.5,14.0,1.5,7.2
121.4,27.4,32.12,41.1,104.8,4.59,9.46,9.54,2.49,19.86,65.6,69.5,6.2,9.2,6.6
116.1,23.7,37.0,9.7,0.2,6.38,1.57,0.13,16.08,0.39,24.8,74.3,-4.1,17.3,91.1
126.8,35.6,31.21,9.8,7.0,6.45,6.59,0.11,10.03,13.36,54.2,75.9,2.3,13.5,117.9
115.1,21.7,25.5,11.4,6.1,6.22,3.29,0.11,4.64,11.08,38.9,44.2,12.8,0.7,116.8
127.2,11.8,30.42,16.3,17.7,6.08,5.69,1.46,6.33,8.97,51.0,50.9,8.4,3.2,66.1
128.9,13.4,14.29,12.0,2.3,5.49,3.84,0.8,5.22,4.98,72.8,39.0,-8.2,10.8,98.9
110.8,29.8,22.17,34.7,52.2,6.62,3.26,2.86,3.21,6.11,34.2,65.1,13.9,19.4,19.9
115.2,16.1,25.0,42.2,117.9,5.17,7.5,9.84,1.35,20.88,52.9,63.5,5.6,1.4,4.6
116.5,17.8,37.4,4.8,7.5,4.2,6.01,0.46,19.22,1.75,41.9,69.2,-6.3,29.9,107.3
126.0,23.7,11.99,9.0,4.7,4.17,0.17,0.29,5.54,8.26,41.5,39.1,9.9,29.3,111.4
117.8,20.8,17.19,42.2,99.3,6.32,5.54,10.56,2.38,19.62,47.3,35.2,17.8,27.1,9.5
130.0,33.2,38.98,25.2,40.3,5.76,6.11,4.03,9.16,3.42,55.2,61.2,8.0,24.8,31.8
111.2,20.7,15.68,26.7,49.1,5.62,7.88,3.93,6.77,7.9,21.9,63.4,1.5,28.7,29.4
115.7,38.4,11.62,24.6,22.0,6.58,5.43,1.67,6.81,0.18,36.2,79.7,3.0,11.2,67.7
118.3,36.5,25.34,12.2,3.6,5.06,5.65,0.31,3.5,7.39,31.1,41.6,-1.5,14.2,85.5
119.2,24.1,14.39,26.6,35.8,5.57,7.93,3.9,0.85,9.33,75.3,72.6,14.5,11.3,29.2
127.1,29.5,31.61,22.9,14.0,5.16,4.92,1.65,19.24,7.75,25.3,65.0,9.6,16.0,52.3
120.7,35.7,15.74,16.9,21.4,4.21,2.27,1.27,18.85,11.71,36.4,66.4,5.2,6.8,49.4
111.9,17.5,23.39,13.0,0.3,5.04,7.62,0.21,0.6,8.36,50.4,62.3,0.2,24.3,85.2
118.3,29.6,21.26,13.6,8.2,5.31,4.5,0.76,7.35,13.06,33.6,61.1,-1.4,27.5,91.2
121.6,23.1,31.71,34.5,48.3,4.53,4.33,4.0,17.1,12.65,45.7,71.3,-0.9,11.4,18.4
113.9,35.6,12.07,18.7,27.3,5.78,1.45,1.37,14.64,4.7,66.5,62.1,1.2,23.9,52.4
110.9,28.7,30.65,15.8,22.5,5.59,2.09,1.41,16.22,9.21,53.6,73.0,16.1,26.4,64.7
129.9,22.3,26.54,44.2,111.8,6.53,9.37,9.39,1.08,24.0,29.2,44.0,11.5,10.4,0.8
116.3,20.1,18.36,5.0,4.7,4.38,6.59,0.25,15.39,12.37,27.4,71.4,-0.7,1.0,102.6
128.8,32.9,16.41,18.4,24.8,5.15,5.79,2.02,13.74,2.17,65.4,34.5,6.1,11.4,69.5
120.1,39.5,20.42,9.4,9.1,5.29,6.88,0.69,14.83,2.03,25.2,59.8,4.5,12.3,116.4
124.3,21.0,24.17,4.1,2.5,6.55,6.03,0.89,19.95,0.16,71.1,42.3,-3.8,5.4,87.3
120.1,23.1,39.88,37.3,114.2,6.16,8.74,11.85,0.43,23.55,68.5,73.2,10.7,6.1,8.5
111.1,38.6,26.68,28.3,49.4,5.29,3.56,2.86,19.08,3.6,62.0,65.8,10.1,15.3,34.2
127.4,10.5,30.35,28.3,33.1,5.94,3.62,4.38,7.69,3.91,68.3,65.9,2.4,3.3,24.8
119.2,22.4,23.72,20.2,20.6,4.76,1.85,2.26,6.02,4.51,34.6,41.6,3.6,2.4,62.5
120.9,34.9,21.91,30.5,47.6,6.17,6.83,4.37,9.04,13.39,57.3,73.8,17.2,3.6,22.9
124.0,31.1,30.32,38.9,114.9,5.31,6.69,11.44,1.36,20.25,60.7,78.8,19.6,8.5,3.3
113.8,20.7,21.09,21.5,17.4,5.32,3.19,1.01,9.53,0.76,35.1,54.6,19.5,3.9,55.8
116.2,30.0,23.49,30.7,48.2,4.76,5.2,2.82,0.35,4.11,73.6,47.5,17.7,2.3,31.9
124.0,39.1,38.36,44.8,114.8,6.05,5.38,11.17,2.18,15.56,21.3,60.5,6.8,17.0,2.4
123.8,13.9,10.41,36.6,113.2,5.4,8.58,8.6,1.52,24.48,55.6,53.5,15.7,18.5,1.4
123.5,15.9,11.19,30.7,37.0,6.89,3.45,3.95,8.93,1.1,50.9,43.7,2.9,9.5,27.3
119.9,16.8,10.83,9.0,4.1,6.85,4.07,0.13,13.48,14.68,40.7,71.4,11.8,1.5,103.8
127.8,26.7,12.12,31.7,34.6,5.72,3.56,2.8,8.89,5.0,35.8,42.3,-4.6,0.7,24.8
111.4,15.2,22.23,4.9,0.2,6.45,0.69,0.14,14.49,8.46,56.0,69.2,-9.4,1.5,92.6
126.7,30.0,37.9,34.3,57.8,5.46,7.34,3.13,17.59,3.29,73.3,71.8,12.4,11.1,34.2
126.5,12.5,39.76,21.2,27.8,5.01,3.65,1.53,6.96,6.11,41.9,50.9,12.5,12.4,48.9
122.5,30.4,19.43,31.7,33.0,6.91,4.72,3.35,11.59,3.61,59.6,49.1,12.4,8.9,21.6
125.2,25.8,28.13,20.8,12.3,4.01,1.08,1.29,9.52,11.61,41.2,33.6,0.9,3.1,67.9
119.7,11.4,29.44,22.6,29.8,6.52,7.58,1.43,0.6,13.87,54.4,55.9,2.3,21.5,70.5
112.9,12.2,27.95,15.2,26.2,6.36,7.12,2.45,12.24,12.2,68.7,75.3,-5.8,26.7,65.3
122.1,17.6,27.21,42.8,104.3,4.44,9.43,10.6,2.39,16.0,36.7,70.2,-0.0,13.0,2.6
115.7,25.0,33.83,27.4,43.0,6.27,2.79,3.27,11.8,8.28,36.0,73.9,-4.2,14.7,31.4
118.0,17.8,32.86,8.8,6.5,4.04,7.63,0.76,13.34,1.26,22.4,47.2,0.1,4.0,116.5
119.4,17.9,29.14,18.1,12.6,4.29,1.34,1.73,1.97,5.97,79.1,69.0,-7.1,28.2,52.4
126.3,19.0,11.63,5.5,9.7,6.52,3.46,0.83,1.24,6.4,45.1,49.1,7.5,9.5,115.0
119.4,10.7,16.85,29.8,42.8,4.85,7.02,2.63,13.53,8.75,63.4,31.2,-1.6,6.0,30.8
115.5,24.9,31.07,11.8,9.2,5.48,5.03,0.37,18.56,9.21,61.6,32.5,12.9,28.9,97.5
123.7,36.2,23.69,41.0,119.6,6.66,8.28,9.76,0.91,17.53,77.4,60.4,11.1,1.6,7.3
120.9,38.6,26.49,34.9,48.7,6.29,1.75,3.87,10.64,12.73,29.0,39.1,3.6,16.4,33.2
121.0,15.6,25.42,41.0,113.9,4.95,8.27,9.4,2.21,21.68,65.3,76.5,-1.8,18.1,1.9
126.9,12.4,36.5,9.9,9.9,5.52,4.11,0.8,18.41,5.88,77.6,79.3,8.1,27.8,119.7
118.8,18.4,26.58,14.6,6.1,5.69,5.1,0.47,1.58,7.18,29.5,47.6,12.3,2.0,91.1
120.3,36.1,16.18,41.6,109.3,5.42,5.2,11.05,1.62,16.6,20.6,31.2,15.6,7.6,2.9
114.9,16.3,29.11,15.5,26.5,6.43,6.05,1.62,5.78,10.35,70.9,66.3,6.4,28.4,57.7
125.2,35.5,30.65,38.9,98.8,5.66,6.24,10.18,1.73,22.71,21.7,36.7,19.6,29.4,5.7
129.3,36.3,11.73,10.8,8.7,4.67,0.91,0.3,19.79,2.45,48.9,36.9,-7.4,16.3,116.0
129.8,14.8,15.59,37.8,99.7,6.69,9.14,11.23,2.46,15.11,59.8,39.9,-5.8,10.8,3.5
122.3,26.5,18.55,34.9,52.6,5.88,5.0,4.39,12.59,2.94,22.9,58.8,14.4,27.0,24.4
121.4,20.7,22.35,20.0,27.2,4.04,3.86,2.04,15.83,10.26,25.7,36.9,5.8,12.8,60.0
114.9,30.3,23.07,16.6,21.2,6.07,0.76,2.14,1.87,6.03,35.2,57.6,14.3,8.0,70.3
129.7,25.7,24.27,7.8,5.7,6.85,5.78,0.75,11.59,8.83,69.6,51.8,-6.5,25.3,107.7
112.3,37.5,11.71,20.5,16.4,6.59,1.97,2.01,14.45,2.83,66.3,46.1,-6.2,2.4,52.6
116.2,16.1,17.63,13.9,6.9,5.25,1.67,0.78,16.13,5.99,20.8,43.4,-5.1,29.6,106.3
122.2,26.8,12.61,12.4,9.3,6.51,4.87,0.41,19.81,6.47,60.4,63.2,0.3,14.3,88.1
112.6,37.2,11.06,44.9,103.3,6.21,8.35,8.44,0.96,24.56,24.4,66.0,19.2,14.4,6.1
